episode_number,episode_title,episode_url
199,Existe Instinto Materno Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-199-existe-instinto-materno-parte-2-de-2
200,Desafio Naruhodo Quantas Pessoas Restaram Na Cidade Das Sombras,https://www.b9.com.br/shows/naruhodo/naruhodo-200-desafio-naruhodo-quantas-pessoas-restaram-na-cidade-das-sombras
201,Por Que O Nosso Cerebro As Vezes Falha,https://www.b9.com.br/shows/naruhodo/naruhodo-201-por-que-o-nosso-cerebro-as-vezes-falha
202,Especial Premio Ig Nobel 2019 Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-202-especial-premio-ig-nobel-2019-parte-1-de-2
203,Especial Premio Ig Nobel 2019 Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-203-especial-premio-ig-nobel-2019-parte-2-de-2
204,Tudo Que Percebemos Esta No Passado,https://www.b9.com.br/shows/naruhodo/naruhodo-204-tudo-que-percebemos-esta-no-passado
205,Powerpoint E Util Para A Aprendizagem,https://www.b9.com.br/shows/naruhodo/naruhodo-205-powerpoint-e-util-para-a-aprendizagem
206,Por Que Choramos,https://www.b9.com.br/shows/naruhodo/naruhodo-206-por-que-choramos
207,Vape E Cigarro Eletronico Sao Seguros,https://www.b9.com.br/shows/naruhodo/naruhodo-207-vape-e-cigarro-eletronico-sao-seguros
208,Qual O Efeito Da Publicidade Sobre As Criancas Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-208-qual-o-efeito-da-publicidade-sobre-as-criancas-parte-1-de-2
209,Qual O Efeito Da Publicidade Sobre As Criancas Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-209-qual-o-efeito-da-publicidade-sobre-as-criancas-parte-2-de-2
210,Como Funciona A Gagueira,https://www.b9.com.br/shows/naruhodo/naruhodo-210-como-funciona-a-gagueira
211,O Que Sao Pessoas Superdotadas,https://www.b9.com.br/shows/naruhodo/naruhodo-211-o-que-sao-pessoas-superdotadas
212,Cachorros Podem Se Comunicar Como Humanos,https://www.b9.com.br/shows/naruhodo/naruhodo-212-cachorros-podem-se-comunicar-como-humanos
213,Por Que Algumas Pessoas Conseguem Cantar E Outras Nao Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-213-por-que-algumas-pessoas-conseguem-cantar-e-outras-nao-parte-1-de-2
214,Por Que Algumas Pessoas Conseguem Cantar E Outras Nao Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-214-por-que-algumas-pessoas-conseguem-cantar-e-outras-nao-parte-2-de-2
215,Por Que Uma Multidao Cantando Parece Afinada,https://www.b9.com.br/shows/naruhodo/naruhodo-215-por-que-uma-multidao-cantando-parece-afinada
216,Por Que Sentimos Ciumes,https://www.b9.com.br/shows/naruhodo/naruhodo-216-por-que-sentimos-ciumes
217,Por Que Algumas Pessoas Tremem,https://www.b9.com.br/shows/naruhodo/naruhodo-217-por-que-algumas-pessoas-tremem
218,Existe A Tal Sorte De Principiante,https://www.b9.com.br/shows/naruhodo/naruhodo-218-existe-a-tal-sorte-de-principiante
219,Fluor Na Agua Pode Deixar As Pessoas Mais Burras,https://www.b9.com.br/shows/naruhodo/naruhodo-219-fluor-na-agua-pode-deixar-as-pessoas-mais-burras
220,Existe Causa Para A Depressao Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-220-existe-causa-para-a-depressao-parte-1-de-2
221,Existe Causa Para A Depressao Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-221-existe-causa-para-a-depressao-parte-2-de-2
222,Existe Cognicao Quantica,https://www.b9.com.br/shows/naruhodo/naruhodo-222-existe-cognicao-quantica
223,Como Funcionam Os Testes Diagnosticos,https://www.b9.com.br/shows/naruhodo/naruhodo-223-como-funcionam-os-testes-diagnosticos
224,Por Que Espreguicamos Ao Acordar,https://www.b9.com.br/shows/naruhodo/naruhodo-224-por-que-espreguicamos-ao-acordar
225,A Voz Em Nossa Cabeca Existe Para Todos,https://www.b9.com.br/shows/naruhodo/naruhodo-225-a-voz-em-nossa-cabeca-existe-para-todos
226,Como Lidar Com Epidemias,https://www.b9.com.br/shows/naruhodo/naruhodo-226-como-lidar-com-epidemias
227,Todos Nos Enxergamos As Mesmas Cores Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-227-todos-nos-enxergamos-as-mesmas-cores-parte-1-de-2
228,Todos Nos Enxergamos As Mesmas Cores Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-228-todos-nos-enxergamos-as-mesmas-cores-parte-2-de-2
229,O Medo Aumenta A Produtividade No Trabalho,https://www.b9.com.br/shows/naruhodo/naruhodo-229-o-medo-aumenta-a-produtividade-no-trabalho
230,Por Que Quando Olhamos Para Uma Pessoa Ela Nos Olha De Volta,https://www.b9.com.br/shows/naruhodo/naruhodo-230-por-que-quando-olhamos-para-uma-pessoa-ela-nos-olha-de-volta
231,Gemeos Tem A Mesma Impressao Digital,https://www.b9.com.br/shows/naruhodo/naruhodo-231-gemeos-tem-a-mesma-impressao-digital
232,Ser Bilingue Pode Ser Um Problema,https://www.b9.com.br/shows/naruhodo/naruhodo-232-ser-bilingue-pode-ser-um-problema
233,O Que E O Efeito Cumbuca,https://www.b9.com.br/shows/naruhodo/naruhodo-233-o-que-e-o-efeito-cumbuca
234,Assistir A Tv De Perto Causa Miopia,https://www.b9.com.br/shows/naruhodo/naruhodo-234-assistir-a-tv-de-perto-causa-miopia
235,Por Que Suspiramos,https://www.b9.com.br/shows/naruhodo/naruhodo-235-por-que-suspiramos
236,Por Que Temos Dor De Cabeca,https://www.b9.com.br/shows/naruhodo/naruhodo-236-por-que-temos-dor-de-cabeca
237,Por Que Nao Gostamos De Esperar,https://www.b9.com.br/shows/naruhodo/naruhodo-237-por-que-nao-gostamos-de-esperar
238,O Distancionamento Social Impacta A Nossa Saude Mental Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-238-o-distancionamento-social-impacta-a-nossa-saude-mental-parte-1-de-2
239,O Distancionamento Social Impacta A Nossa Saude Mental Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-239-o-distancionamento-social-impacta-a-nossa-saude-mental-parte-2-de-2
240,Por Que Ruidos Nos Incomodam Tanto,https://www.b9.com.br/shows/naruhodo/naruhodo-240-por-que-ruidos-nos-incomodam-tanto
241,Por Que As Pessoas Querem Sempre Ter Razao,https://www.b9.com.br/shows/naruhodo/naruhodo-241-por-que-as-pessoas-querem-sempre-ter-razao
242,O Experimento Do Parque Dos Ratos Ainda E Valido,https://www.b9.com.br/shows/naruhodo/naruhodo-242-o-experimento-do-parque-dos-ratos-ainda-e-valido
243,Mover Os Olhos Pode Reprogramar Suas Memorias,https://www.b9.com.br/shows/naruhodo/naruhodo-243-mover-os-olhos-pode-reprogramar-suas-memorias
244,Por Que Mentimos,https://www.b9.com.br/shows/naruhodo/naruhodo-244-por-que-mentimos
245,Por Que Sempre Tem Espaco Pro Doce,https://www.b9.com.br/shows/naruhodo/naruhodo-245-por-que-sempre-tem-espaco-pro-doce
246,O Que Os Outros Esperam De Nos Nos Torna Melhores,https://www.b9.com.br/shows/naruhodo/naruhodo-246-o-que-os-outros-esperam-de-nos-nos-torna-melhores
247,O Que E Telemedicina E Por Que Ela E Importante,https://www.b9.com.br/shows/naruhodo/naruhodo-247-o-que-e-telemedicina-e-por-que-ela-e-importante
248,Meninos Sao De Exatas E Meninas Sao De Biologicas E Humanas Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-248-meninos-sao-de-exatas-e-meninas-sao-de-biologicas-e-humanas-parte-1-de-2
249,Meninos Sao De Exatas E Meninas Sao De Biologicas E Humanas Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-249-meninos-sao-de-exatas-e-meninas-sao-de-biologicas-e-humanas-parte-2-de-2
251,O Que E A Sindrome Do Impostor,https://www.b9.com.br/shows/naruhodo/naruhodo-251-o-que-e-a-sindrome-do-impostor
252,A Piramide De Maslow Faz Sentido,https://www.b9.com.br/shows/naruhodo/naruhodo-252-a-piramide-de-maslow-faz-sentido
253,Por Que Sentimos Nosso Corpo Formigar,https://www.b9.com.br/shows/naruhodo/naruhodo-253-por-que-sentimos-nosso-corpo-formigar
254,Especial Premio Ignobel 2020 Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-254-especial-premio-ignobel-2020-parte-1-de-2
255,Especial Premio Ignobel 2020 Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-255-especial-premio-ignobel-2020-parte-2-de-2
256,Por Que Roncamos,https://www.b9.com.br/shows/naruhodo/naruhodo-256-por-que-roncamos
257,Sons Binaurais Ajudam A Nossa Mente,https://www.b9.com.br/shows/naruhodo/naruhodo-257-sons-binaurais-ajudam-a-nossa-mente
258,Os Carros Precisam Ser Mais Velozes Que O Limite Permitido,https://www.b9.com.br/shows/naruhodo/naruhodo-258-os-carros-precisam-ser-mais-velozes-que-o-limite-permitido
259,Por Que As Coisas Parecem Obvias Depois Que Passamos Por Elas Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-259-por-que-as-coisas-parecem-obvias-depois-que-passamos-por-elas-parte-1-de-2
260,Por Que As Coisas Parecem Obvias Depois Que Passamos Por Elas Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-260-por-que-as-coisas-parecem-obvias-depois-que-passamos-por-elas-parte-2-de-2
261,O Que A Solidao Pode Causar Nas Pessoas,https://www.b9.com.br/shows/naruhodo/naruhodo-261-o-que-a-solidao-pode-causar-nas-pessoas
262,Por Que Damos Mais Atencao As Noticias Ruins,https://www.b9.com.br/shows/naruhodo/naruhodo-262-por-que-damos-mais-atencao-as-noticias-ruins
263,O Que E Transumanismo,https://www.b9.com.br/shows/naruhodo/naruhodo-263-o-que-e-transumanismo
264,Por Que E Importante Conhecer Nosso Colesterol,https://www.b9.com.br/shows/naruhodo/naruhodo-264-por-que-e-importante-conhecer-nosso-colesterol
265,Como Funcionam Os Testes De Vacinas,https://www.b9.com.br/shows/naruhodo/naruhodo-265-como-funcionam-os-testes-de-vacinas
266,Por Que Vemos Luzes Quando Fechamos Os Olhos,https://www.b9.com.br/shows/naruhodo/naruhodo-266-por-que-vemos-luzes-quando-fechamos-os-olhos
267,O Que E Dissonancia Cognitiva,https://www.b9.com.br/shows/naruhodo/naruhodo-267-o-que-e-dissonancia-cognitiva
268,O Que E Dissonancia Cognitiva Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-268-o-que-e-dissonancia-cognitiva-parte-2-de-2
269,Por Que Existe A Escuridao Da Noite,https://www.b9.com.br/shows/naruhodo/naruhodo-269-por-que-existe-a-escuridao-da-noite
270,O Que E E Como Se Da A Sinestesia,https://www.b9.com.br/shows/naruhodo/naruhodo-270-o-que-e-e-como-se-da-a-sinestesia
271,Por Que Ouvimos Zumbidos Sem Nenhum Som Por Perto,https://www.b9.com.br/shows/naruhodo/naruhodo-271-por-que-ouvimos-zumbidos-sem-nenhum-som-por-perto
272,Quais Sao Os Grandes Desafios Da Psicologia No Brasil,https://www.b9.com.br/shows/naruhodo/naruhodo-272-quais-sao-os-grandes-desafios-da-psicologia-no-brasil
273,Por Que Temos Dificuldades Em Compreender Coisas Muito Grandes Ou Muito Pequenas,https://www.b9.com.br/shows/naruhodo/naruhodo-273-por-que-temos-dificuldades-em-compreender-coisas-muito-grandes-ou-muito-pequenas
274,Tomar Cafe Reduz A Massa Cinzenta Do Cerebro,https://www.b9.com.br/shows/naruhodo/naruhodo-274-tomar-cafe-reduz-a-massa-cinzenta-do-cerebro
275,Por Que Sorrimos,https://www.b9.com.br/shows/naruhodo/naruhodo-275-por-que-sorrimos
276,Por Que Xingamos,https://www.b9.com.br/shows/naruhodo/naruhodo-276-por-que-xingamos
277,O Que E Singularidade Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-277-o-que-e-singularidade-parte-1-de-2
278,O Que E Singularidade Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-278-o-que-e-singularidade-parte-2-de-2
279,O Poder Corrompe,https://www.b9.com.br/shows/naruhodo/naruhodo-279-o-poder-corrompe
280,Por Que As Pessoas Compartilham Fake News,https://www.b9.com.br/shows/naruhodo/naruhodo-280-por-que-as-pessoas-compartilham-fake-news
281,Aprendemos Mais Quando Somos Punidos,https://www.b9.com.br/shows/naruhodo/naruhodo-281-aprendemos-mais-quando-somos-punidos
282,Anotar A Mao E Melhor Que Com Computador,https://www.b9.com.br/shows/naruhodo/naruhodo-282-anotar-a-mao-e-melhor-que-com-computador
283,Como Se Formam Os Sotaques E As Girias,https://www.b9.com.br/shows/naruhodo/naruhodo-283-como-se-formam-os-sotaques-e-as-girias
284,Qual O Impacto Do Desemprego Em Nossa Vida,https://www.b9.com.br/shows/naruhodo/naruhodo-284-qual-o-impacto-do-desemprego-em-nossa-vida
285,Por Que Outras Pessoas Nao Entendem Coisas Que Sao Obvias Para Nos,https://www.b9.com.br/shows/naruhodo/naruhodo-285-por-que-outras-pessoas-nao-entendem-coisas-que-sao-obvias-para-nos
286,Por Que Sentimos Vergonha Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-286-por-que-sentimos-vergonha-parte-1-de-2
287,Por Que Sentimos Vergonha Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-287-por-que-sentimos-vergonha-parte-2-de-2
288,Por Que Existe A Menopausa,https://www.b9.com.br/shows/naruhodo/naruhodo-288-por-que-existe-a-menopausa
289,Ficamos Parecidos Com Nossos Pais Quando Envelhecemos,https://www.b9.com.br/shows/naruhodo/naruhodo-289-ficamos-parecidos-com-nossos-pais-quando-envelhecemos
290,O Que E E Para Que Serve O Teste De Rorschach,https://www.b9.com.br/shows/naruhodo/naruhodo-290-o-que-e-e-para-que-serve-o-teste-de-rorschach
291,Por Que Preferimos Certas Marcas A Outras,https://www.b9.com.br/shows/naruhodo/naruhodo-291-por-que-preferimos-certas-marcas-a-outras
292,Por Que Mexemos As Maos Quando Falamos,https://www.b9.com.br/shows/naruhodo/naruhodo-292-por-que-mexemos-as-maos-quando-falamos
293,Por Que Spoilers Nos Afetam Tanto,https://www.b9.com.br/shows/naruhodo/naruhodo-293-por-que-spoilers-nos-afetam-tanto
294,Por Que Apartamos Brigas Entre Animais,https://www.b9.com.br/shows/naruhodo/naruhodo-294-por-que-apartamos-brigas-entre-animais
295,Tomar Banho Gelado Faz Bem Pra Saude,https://www.b9.com.br/shows/naruhodo/naruhodo-295-tomar-banho-gelado-faz-bem-pra-saude
296,Todas As Pessoas Imaginam As Coisas Do Mesmo Jeito,https://www.b9.com.br/shows/naruhodo/naruhodo-296-todas-as-pessoas-imaginam-as-coisas-do-mesmo-jeito
297,Balancar De Um Lado Para O Outro Ajuda A Dormir Melhor,https://www.b9.com.br/shows/naruhodo/naruhodo-297-balancar-de-um-lado-para-o-outro-ajuda-a-dormir-melhor
298,Ouvir Musica Classica Nos Torna Mais Inteligentes,https://www.b9.com.br/shows/naruhodo/naruhodo-298-ouvir-musica-classica-nos-torna-mais-inteligentes
299,Como Buscar Fontes Confiaveis Sobre Coisas Que Nos Interessam,https://www.b9.com.br/shows/naruhodo/naruhodo-299-como-buscar-fontes-confiaveis-sobre-coisas-que-nos-interessam
300,Desafio Naruhodo Alaor Conseguira Salvar Luiza Do Sultao Amatis,https://www.b9.com.br/shows/naruhodo/naruhodo-300-desafio-naruhodo-alaor-conseguira-salvar-luiza-do-sultao-amatis
301,Somos Tao Bons Em Algo Quanto Achamos,https://www.b9.com.br/shows/naruhodo/naruhodo-301-somos-tao-bons-em-algo-quanto-achamos
302,Premio Ignobel 2021 Parte 1 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-302-premio-ignobel-2021-parte-1-de-2
303,Premio Ignobel 2021 Parte 2 De 2,https://www.b9.com.br/shows/naruhodo/naruhodo-303-premio-ignobel-2021-parte-2-de-2
304,Como Saber Se Uma Pesquisa Cientifica Foi Feita De Forma Etica,https://www.b9.com.br/shows/naruhodo/naruhodo-304-como-saber-se-uma-pesquisa-cientifica-foi-feita-de-forma-etica
305,Por Que Seguimos Lideres,https://www.b9.com.br/shows/naruhodo/naruhodo-305-por-que-seguimos-lideres
