Episode Title,Episode URL,Reference
Existe amizade entre homens e mulheres? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-434-existe-amizade-entre-homens-e-mulheres-parte-2-de-2/,"2020, o ano que nunca acabou
Braincast"
Existe amizade entre homens e mulheres? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-434-existe-amizade-entre-homens-e-mulheres-parte-2-de-2/,"Ruptura [S2]
Cinemático"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-434-existe-amizade-entre-homens-e-mulheres-parte-2-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-434-existe-amizade-entre-homens-e-mulheres-parte-2-de-2/&via=brains9&text=Naruhodo #434 – Existe amizade entre homens e mulheres? – Parte 2 de 2,
Existe amizade entre homens e mulheres? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/,"Estamos passando pano pra IA?
Braincast"
Existe amizade entre homens e mulheres? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/,"Oeste Outra Vez
Cinemático"
Existe amizade entre homens e mulheres? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Existe amizade entre homens e mulheres? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
Existe amizade entre homens e mulheres? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-433-existe-amizade-entre-homens-e-mulheres-parte-1-de-2/&via=brains9&text=Naruhodo #433 – Existe amizade entre homens e mulheres? – Parte 1 de 2,
O uso de cigarros eletrônicos é um problema de saúde pública?,https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/,"Oeste Outra Vez
Cinemático"
O uso de cigarros eletrônicos é um problema de saúde pública?,https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
O uso de cigarros eletrônicos é um problema de saúde pública?,https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/,"Entrevista #39: Mila Massuda
Naruhodo!"
O uso de cigarros eletrônicos é um problema de saúde pública?,https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/,"2020, o ano que nunca acabou
Braincast"
O uso de cigarros eletrônicos é um problema de saúde pública?,https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/,"Ruptura [S2]
Cinemático"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-432-o-uso-de-cigarros-eletronicos-e-um-problema-de-saude-publica/&via=brains9&text=Naruhodo #432 – O uso de cigarros eletrônicos é um problema de saúde pública?,
Empreender se aprende ou é algo que nasce com a pessoa?,https://www.b9.com.br/shows/naruhodo/naruhodo-431-empreender-se-aprende-ou-e-algo-que-nasce-com-a-pessoa/,"Estamos passando pano pra IA?
Braincast"
